.................
Ayoub EL GHEBOULI
/////////////////
This txt file contains the comparative results of the different detectors, descriptors and matching of points of interest (46 methods) for scenarios 4, 5, 6, and 7.

................................................
The console display for scenarios 4, 5, 6 and 7:
................................................

+---------------------------------------------------------------------------------------------------+
|                                      Results of scenario 4                                        |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Method        |   Execution time (s)  | Number of points/image |  Correct matching rate (%)  |
|  star-brief_bf.L2  |         0.078         |        368.438         |            41.595           |
| star-freak_bf.HAMG |         0.082         |        349.938         |            41.495           |
|     sift_bf.L1     |          1.62         |        1825.083        |            41.493           |
|  mser-freak_bf.L2  |         0.586         |        165.542         |            40.332           |
|     sift_bf.L2     |         1.626         |        1866.208        |            38.778           |
|  mser-brief_bf.L1  |         0.583         |        193.042         |            38.296           |
|    brisk_bf.L2     |          1.16         |        2223.625        |            37.914           |
|     orb_bf.L1      |         0.062         |        277.438         |            36.71            |
|  fast-latch_bf.L1  |         3.925         |        3967.042        |            34.722           |
| fast-freak_bf.HAMG |         1.399         |        4132.708        |            34.272           |
|  star-freak_bf.L1  |         0.098         |        348.396         |            32.691           |
|  mser-brief_bf.L2  |         0.579         |         193.25         |            32.49            |
|  star-latch_bf.L2  |         0.251         |        352.292         |            31.57            |
|  mser-latch_bf.L1  |         0.696         |        195.688         |            31.021           |
|  fast-brief_bf.L2  |         1.785         |        3956.958        |            30.448           |
|     orb_bf.L2      |         0.062         |        273.688         |            29.567           |
|  star-freak_bf.L2  |         0.097         |        345.438         |             27.4            |
|  mser-latch_bf.L2  |         0.691         |        190.979         |            25.748           |
|  fast-latch_bf.L2  |         3.857         |        3875.229        |            22.747           |
|  fast-freak_bf.L1  |         3.667         |        4080.333        |            22.347           |
|  fast-freak_bf.L2  |         3.457         |        4054.771        |            16.19            |
|  mser-lucid_bf.L2  |         0.582         |        218.167         |            12.375           |
|  mser-lucid_bf.L1  |         0.584         |        219.708         |            11.718           |
| mser-lucid_bf.HAMG |         0.579         |        233.833         |            8.435            |
|  star-lucid_bf.L2  |         0.069         |        344.333         |            7.434            |
|  star-lucid_bf.L1  |          0.07         |        345.479         |            7.227            |
| star-lucid_bf.HAMG |         0.067         |        364.604         |             6.12            |
|  fast-lucid_bf.L2  |         2.123         |        4564.583        |            3.214            |
|  fast-lucid_bf.L1  |         2.097         |        4606.354        |            3.123            |
| fast-lucid_bf.HAMG |         1.687         |        4896.75         |            2.587            |
+--------------------+-----------------------+------------------------+-----------------------------+
